Date_Time,Channel,Channel_Name,TOC_Conc,DilutionFactor,MSIG,SLOP,ICPT,FACT,OFST,MAXR,Add_note
2025-12-18 13:33:57,1,유입수,0.09,1.0,77.08,160.94,61.93,1.0,0.0,200,CH Name = effluent / OVEN = 854 / COOLER = 1 / flow out = 149.72
2025-12-18 13:48:57,1,유입수,205.29,1.0,33099.95,160.94,61.93,1.0,0.0,200,CH Name = effluent / OVEN = 854 / COOLER = 1 / flow out = 149.49
2025-12-18 14:03:57,1,유입수,202.99,1.0,32729.78,160.94,61.93,1.0,0.0,200,CH Name = effluent / OVEN = 854 / COOLER = 1 / flow out = 148.81
2025-12-18 14:18:57,1,유입수,204.59,1.0,32987.66,160.94,61.93,1.0,0.0,200,CH Name = effluent / OVEN = 854 / COOLER = 1 / flow out = 150.36
2025-12-22 10:28:44,1,유입수,242.46,5.0,7866.03,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 856 / COOLER = 0 / flow out = 151.57
2025-12-22 10:43:44,2,1차처리수,1344.23,5.0,43329.05,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 853 / COOLER = 0 / flow out = 154.3
2025-12-22 10:58:44,3,방류수,16.38,1.0,2698.84,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 856 / COOLER = 0 / flow out = 156.99
2025-12-22 11:13:44,1,유입수,94.09,5.0,3090.45,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 856 / COOLER = 0 / flow out = 157.35
2025-12-22 11:28:44,2,1차처리수,1497.6,5.0,48265.59,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 853 / COOLER = 0 / flow out = 159.68
2025-12-22 11:43:44,3,방류수,0.0,1.0,1.49,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 856 / COOLER = 0 / flow out = 171.08
2025-12-22 11:58:44,1,유입수,80.67,5.0,2658.5,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 852 / COOLER = 0 / flow out = 159.23
2025-12-22 12:33:03,5,test,3.79,1.0,672.33,160.94,61.93,1.0,0.0,200,CH Name = test / OVEN = 855 / COOLER = 0 / flow out = 156.42
2025-12-22 12:48:03,5,test,2.55,1.0,472.91,160.94,61.93,1.0,0.0,200,CH Name = test / OVEN = 853 / COOLER = 1 / flow out = 157.81
2025-12-22 13:03:03,5,test,183.07,1.0,29524.54,160.94,61.93,1.0,0.0,200,CH Name = test / OVEN = 857 / COOLER = 1 / flow out = 158.38
2025-12-22 13:22:35,1,유입수,95.33,5.0,3130.33,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 855 / COOLER = 1 / flow out = 159.59
2025-12-22 13:37:35,2,1차처리수,198.3,5.0,6444.6,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 854 / COOLER = 1 / flow out = 160.02
2025-12-22 13:52:35,3,방류수,12.52,1.0,2077.07,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 856 / COOLER = 0 / flow out = 159.59
2025-12-22 14:07:35,1,유입수,93.58,5.0,3073.89,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 856 / COOLER = 1 / flow out = 157.41
2025-12-22 14:22:35,2,1차처리수,197.73,5.0,6426.38,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 855 / COOLER = 1 / flow out = 158.05
2025-12-22 14:37:35,3,방류수,11.31,1.0,1881.42,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 853 / COOLER = 1 / flow out = 159.55
2025-12-22 14:52:35,1,유입수,93.06,5.0,3057.15,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 854 / COOLER = 1 / flow out = 158.12
2025-12-22 15:07:35,2,1차처리수,196.74,5.0,6394.43,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 856 / COOLER = 1 / flow out = 157.93
2025-12-22 15:22:35,3,방류수,10.9,1.0,1815.65,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 855 / COOLER = 1 / flow out = 160.46
2025-12-22 15:37:35,1,유입수,93.17,5.0,3060.89,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 853 / COOLER = 1 / flow out = 157.58
2025-12-22 15:52:35,2,1차처리수,459.84,5.0,14862.92,160.94,61.93,1.0,0.0,200,CH Name = 1차처리수 / OVEN = 852 / COOLER = 1 / flow out = 159.8
2025-12-22 16:07:35,3,방류수,16.19,1.0,2667.76,160.94,61.93,1.0,0.0,200,CH Name = 방류수 / OVEN = 852 / COOLER = 1 / flow out = 159.41
2025-12-22 16:22:35,1,유입수,108.41,5.0,3551.43,160.94,61.93,1.0,0.0,200,CH Name = 유입수 / OVEN = 854 / COOLER = 1 / flow out = 159.01
